robot_id,serial_number,model,manufacturer,robot_type,manufacture_date,installation_date,operational_status,max_payload_kg,max_speed_mps,battery_capacity_wh,sensor_type,software_version,home_zone,color,weight_kg,height_cm,width_cm,maintenance_cycle_days,total_operational_hours
106626,SN1416849,AMR-200,Boston Dynamics,Sorter,2019-07-31,2019-10-26,Active,1443.5,2.77,10724,Ultrasonic,v2.0.6,Zone-B,Blue,481.3,170,125,60,5395.7
108924,SN8384552,AGV-Pro,Locus Robotics,Cobotic Arm,2018-06-19,2018-08-07,Active,678.6,3.47,8676,LiDAR,v4.2.6,Zone-A,Orange,422.8,65,75,90,12284.4
117571,SN2451176,HeavyLifter,GreyOrange,AMR,2021-12-12,2022-04-27,Active,275.4,3.29,10575,LiDAR,v3.4.6,Zone-B,Grey,57.7,135,72,90,13325.2
119450,SN7744175,NavBot-V2,Geek+,Sorter,2022-07-11,2022-10-31,Idle,329.3,2.01,7116,LiDAR,v2.3.0,Zone-B,Orange,412.8,177,64,90,5986.5
120440,SN6588597,SortBot-X,Locus Robotics,Sorter,2024-12-03,2025-05-06,Active,147.3,2.1,5726,Stereo Camera,v3.8.7,Zone-B,Yellow,232.9,123,63,30,14879.6
120523,SN3590693,NavBot-V2,Locus Robotics,AMR,2024-02-03,2024-06-17,Active,5.8,1.44,4005,LiDAR,v2.6.2,Zone-C,White,293.9,183,91,90,1335.8
127736,SN4812484,NavBot-V2,Boston Dynamics,Palletizer,2024-05-31,2024-07-22,Decommissioned,650.8,2.82,11076,LiDAR,v2.1.17,Zone-G,Yellow,529.8,173,51,180,203.5
131223,SN2060594,AGV-Pro,GreyOrange,AGV,2022-08-05,2022-09-14,Decommissioned,1155.0,2.79,8427,Stereo Camera,v5.5.12,Zone-B,White,413.2,70,132,60,2222.2
133536,SN9881056,AMR-500,Boston Dynamics,Cobotic Arm,2020-05-31,2020-09-01,Under Maintenance,1101.5,3.03,2447,Stereo Camera,v4.5.10,Zone-C,Grey,101.8,149,96,90,2816.6
133671,SN3145046,PalletBot,Fetch Robotics,Palletizer,2020-11-25,2021-03-07,Reserved,53.1,3.19,11492,Ultrasonic,v5.6.1,Zone-B,Yellow,86.2,87,140,30,15821.9
137452,SN3778104,PickBot-3,Locus Robotics,AGV,2018-10-24,2018-12-29,Idle,857.1,1.8,898,Fusion,v3.8.8,Zone-F,Yellow,173.0,137,95,30,7655.4
139423,SN5525873,AMR-500,Locus Robotics,Sorter,2020-10-17,2021-03-13,Idle,235.7,2.8,7132,ToF,v2.7.12,Zone-A,White,177.0,121,73,365,4956.0
152472,SN7051423,AMR-200,Boston Dynamics,AMR,2020-05-19,2020-09-13,Idle,1411.9,2.92,2448,LiDAR,v4.3.2,Zone-A,Yellow,498.4,189,96,90,7729.1
157435,SN5547491,SortBot-X,GreyOrange,Sorter,2017-11-17,2018-04-08,Active,255.2,1.43,8039,LiDAR,v3.3.18,Zone-C,Yellow,166.9,198,56,90,7113.2
158460,SN5546251,AMR-500,GreyOrange,Cobotic Arm,2019-05-23,2019-07-08,Active,941.8,3.29,5069,Fusion,v3.1.8,Zone-E,White,708.9,133,130,60,5433.3
